,Mean,Variance,Kurtosis,Skewness,contrast,dissimilarity,homogeneity,energy,asm,corr,lbp_energy,lbp_entropy,gabor_energy,gabor_entropy,Label
447,102.45848,709.9770441,1.377986656,-0.229807187,227.7596129,8.799032258,0.192706169,0.024757282,0.000612923,0.839792083,0.147519049,2.864281744,0.335419893,1.867374361,Fire
448,45.914208,1036.266944,2.225339861,1.262922837,338.4477097,9.782,0.196195881,0.022872879,0.000523169,0.836947293,0.14676959,2.869359481,0.781313856,0.794899262,Fire
449,102.261024,2938.247514,-1.165252577,-0.033501741,211.9655161,5.719645161,0.381266672,0.041627861,0.001732879,0.963984844,0.187310209,2.625420683,0.26639839,2.164007995,Fire
450,77.695632,2521.55768,0.097835584,0.567176593,512.0039355,14.01870968,0.199204576,0.030257875,0.000915539,0.898661764,0.146152894,2.88198628,0.403976881,1.826265588,Fire
451,58.31328,2021.259328,4.08476576,1.912927927,297.1485806,9.030129032,0.276894331,0.031970501,0.001022113,0.926614963,0.149593805,2.859808682,0.684672188,1.07447901,Fire
452,113.441184,1465.642477,0.530362741,-0.347208385,312.8152258,8.677967742,0.282028365,0.029564204,0.000874042,0.892694185,0.152773687,2.833362782,0.252496978,2.196514081,Fire
453,112.860688,748.3339202,1.717312817,0.379964525,52.74941935,3.235870968,0.417449815,0.043571135,0.001898444,0.964461676,0.180602967,2.661686038,0.350853078,1.802767312,Fire
454,50.865072,2171.444242,2.044994067,1.549563223,454.3576774,9.928193548,0.426367403,0.063465871,0.004027917,0.89567192,0.197051594,2.644647595,0.65230216,1.188784127,Fire
455,62.89576,4965.080734,0.635695911,1.312006666,125.2459032,5.113096774,0.473089499,0.100034058,0.010006813,0.987427163,0.214478493,2.537911782,0.604188539,1.355587589,Fire
456,62.89576,4965.080734,0.635695911,1.312006666,125.2459032,5.113096774,0.473089499,0.100034058,0.010006813,0.987427163,0.214478493,2.537911782,0.604188539,1.355587589,Fire
457,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
458,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
459,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
460,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
461,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
462,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
463,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
464,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
465,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
466,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
467,106.33464,1881.721504,-0.704405186,0.027192652,978.4075484,21.3716129,0.075595475,0.010161598,0.000103258,0.74013577,0.139634884,2.914484832,0.234545157,2.438417274,Fire
468,79.960432,2964.608146,-1.267747165,0.163949209,784.9700806,14.53969355,0.158974243,0.018284433,0.00033432,0.867925049,0.14865453,2.859449615,0.328542456,2.051407494,Fire
469,79.960432,2964.608146,-1.267747165,0.163949209,784.9700806,14.53969355,0.158974243,0.018284433,0.00033432,0.867925049,0.14865453,2.859449615,0.328542456,2.051407494,Fire
470,79.960432,2964.608146,-1.267747165,0.163949209,784.9700806,14.53969355,0.158974243,0.018284433,0.00033432,0.867925049,0.14865453,2.859449615,0.328542456,2.051407494,Fire
471,79.960432,2964.608146,-1.267747165,0.163949209,784.9700806,14.53969355,0.158974243,0.018284433,0.00033432,0.867925049,0.14865453,2.859449615,0.328542456,2.051407494,Fire
472,79.960432,2964.608146,-1.267747165,0.163949209,784.9700806,14.53969355,0.158974243,0.018284433,0.00033432,0.867925049,0.14865453,2.859449615,0.328542456,2.051407494,Fire
473,79.960432,2964.608146,-1.267747165,0.163949209,784.9700806,14.53969355,0.158974243,0.018284433,0.00033432,0.867925049,0.14865453,2.859449615,0.328542456,2.051407494,Fire
474,79.960432,2964.608146,-1.267747165,0.163949209,784.9700806,14.53969355,0.158974243,0.018284433,0.00033432,0.867925049,0.14865453,2.859449615,0.328542456,2.051407494,Fire
475,79.960432,2964.608146,-1.267747165,0.163949209,784.9700806,14.53969355,0.158974243,0.018284433,0.00033432,0.867925049,0.14865453,2.859449615,0.328542456,2.051407494,Fire
476,79.960432,2964.608146,-1.267747165,0.163949209,784.9700806,14.53969355,0.158974243,0.018284433,0.00033432,0.867925049,0.14865453,2.859449615,0.328542456,2.051407494,Fire
